location_index,location,feature_completeness_percent,number_of_values,number_of_empty_fields,number_of_records,mean,median,_mode_,max,min,_range_
121,Latvia,100.00,1593336,0,1593336,826.3689,259.0000,83,11992,0,11992
122,Lebanon,100.00,1815552,0,1815552,1044.2910,387.5000,108,10760,0,10760
123,Lesotho,100.00,312048,0,312048,29.1794,0.0000,671,1591,0,1591
124,Liberia,100.00,88575,75,88650,6.8510,1.0000,470,219,0,219
125,Libya,100.00,1234008,0,1234008,429.1083,40.5000,464,5694,0,5694
126,Liechtenstein,100.00,295500,0,295500,18.1540,4.0000,320,238,0,238
127,Lithuania,99.00,1810120,10738,1820858,1113.1110,443.5000,71,15412,0,15412
128,"Low income",100.00,2269440,0,2269440,1937.2327,1185.5000,66,24677,0,24677
129,"Lower middle income",100.00,2680776,11340,2692116,82029.9484,53002.5000,28,508345,0,508345
130,Luxembourg,100.00,1208004,0,1208004,270.3883,120.0000,74,3073,0,3073
131,Macao,0.00,0,782,782,NULL,NULL,0,NULL,NULL,NULL
132,Madagascar,100.00,508260,0,508260,57.5711,0.0000,740,2984,0,2984
133,Malawi,100.00,296431,251,296682,75.1169,8.0000,320,1316,0,1316
134,Malaysia,100.00,2210340,9350,2219690,4269.9154,1944.0000,65,33406,0,33406
135,Maldives,100.00,380817,969,381786,157.5734,47.0000,326,2838,0,2838
136,Mali,100.00,354600,0,354600,28.0093,8.0000,224,1217,0,1217
137,Malta,100.00,375558,318,375876,99.9187,37.0000,157,1403,0,1403
138,"Marshall Islands",100.00,106380,0,106380,13.3020,0.0000,1120,2637,0,2637
139,Martinique,100.00,531900,0,531900,194.0474,0.0000,865,8076,0,8076
140,Mauritania,100.00,259820,220,260040,53.7849,13.0000,360,2545,0,2545
141,Mauritius,100.00,1073256,0,1073256,251.4907,33.5000,444,3503,0,3503
142,Mayotte,100.00,181874,154,182028,36.3099,0.0000,845,6040,0,6040
143,Mexico,100.00,1264851,3213,1268064,6374.1626,3520.0000,57,81298,0,81298
144,"Micronesia (country)",100.00,151296,0,151296,21.7453,0.0000,1112,3049,0,3049
145,Moldova,100.00,727443,1851,729294,523.9610,216.0000,363,10147,0,10147
146,Monaco,100.00,236400,0,236400,13.6751,5.0000,258,156,0,156
147,Mongolia,100.00,1243464,0,1243464,852.7166,30.0000,389,24556,0,24556
148,Montenegro,100.00,603491,511,604002,244.9602,104.0000,132,3099,0,3099
149,Montserrat,100.00,78012,0,78012,1.1870,0.0000,1079,201,0,201
150,Morocco,100.00,1680804,0,1680804,1076.6684,221.0000,92,12039,0,12039
151,Mozambique,100.00,839220,0,839220,197.4061,26.0000,301,6640,0,6640
152,Myanmar,100.00,1271832,0,1271832,536.4433,38.0000,163,7083,0,7083
153,Namibia,100.00,865224,0,865224,144.8579,34.0000,335,3077,0,3077
154,Nauru,100.00,70920,0,70920,4.5626,0.0000,1145,1241,0,1241
155,Nepal,100.00,761745,645,762390,847.8120,171.0000,124,10052,0,10052
156,Netherlands,99.00,2436104,14476,2450580,7307.4049,2223.5000,57,391655,0,391655
157,"New Caledonia",100.00,406608,1720,408328,67.7090,0.0000,888,3659,0,3659
158,"New Zealand",100.00,866120,1468,867588,1869.8254,4.0000,375,41043,0,41043
159,Nicaragua,100.00,245856,416,246272,13.2673,0.0000,1022,516,0,516
160,Niger,100.00,182028,0,182028,8.0482,2.0000,444,301,0,301
161,Nigeria,100.00,1165452,0,1165452,225.6007,73.0000,371,4035,0,4035
162,Niue,100.00,56736,0,56736,0.6320,0.0000,1105,117,0,117
163,"North America",100.00,2676048,11320,2687368,104291.7572,63424.0000,30,1412893,0,1412893
